# Title : ECLIPSE4 laser with Al target
# weight          x (um)          y (um)          z (um)          px (MeV/c)      py (MeV/c)      pz (MeV/c)      t (fs)          
 1.8301400E+08,  1.5000000E+02,  3.4360200E+01, -9.3756100E+01,  8.1072800E-01, -1.5178500E-01, -4.7340800E-01,  8.9804600E+02, 
 1.8301400E+08,  3.0000000E+02,  2.4107900E+00, -2.2882600E+02,  3.9150300E-01,  2.5636900E-01, -7.2444700E-01,  1.7623200E+03, 
 1.0752300E+07,  1.5000000E+02, -2.2645200E+00,  2.8189600E+00,  8.2045500E+00, -3.3812900E-01,  3.2713400E-01,  7.4806200E+02, 
 1.0752300E+07,  3.0000000E+02, -4.8862300E+00,  1.2091400E+01,  7.9534700E+00, -8.5489200E-02,  7.3140500E-01,  1.2505500E+03, 
 6.8503900E+07,  1.5000000E+02, -1.1114300E+01,  1.0820800E+01,  3.2528700E+00, -4.5137200E-01,  6.6251000E-01,  7.0649100E+02, 
 6.8503900E+07,  3.0000000E+02, -2.0765500E+01,  5.2777300E+01,  3.1720000E+00, -4.1247900E-01,  8.2808200E-01,  1.2331900E+03, 
 3.2106800E+06,  1.5000000E+02,  3.9200700E+00,  1.9219500E+00,  5.6419800E+00,  3.0315800E-01, -1.2147400E-01,  7.4917600E+02, 
 3.2106800E+06,  3.0000000E+02,  7.0285300E+00, -9.3015300E+00,  5.5645800E+00,  1.6820300E-01, -6.5362800E-01,  1.2529900E+03, 
 1.4177200E+07,  1.5000000E+02, -8.7459700E-01,  2.3381100E+01,  5.8412400E+00,  7.6308100E-02,  1.7417900E+00,  7.5974100E+02, 
 1.4177200E+07,  3.0000000E+02,  4.5304400E-01,  6.7299800E+01,  5.8295700E+00, -4.4676300E-02,  1.6273200E+00,  1.2829100E+03, 
 2.1418700E+08,  1.5000000E+02, -5.9513600E+00, -4.7944800E-01,  2.7875100E+00, -1.8946700E-01, -2.5009400E-01,  7.5367700E+02, 
 2.1418700E+08,  3.0000000E+02, -6.6561800E+00, -7.4645200E+00,  2.6956200E+00, -3.0284600E-01,  4.8487200E-01,  1.2683900E+03, 
 3.5957100E+06,  1.5000000E+02,  2.5680600E+00, -4.7249500E+00,  5.4919100E+00,  2.0405700E-01, -2.6289400E-01,  6.9932600E+02, 
 3.5957100E+06,  3.0000000E+02,  2.7752700E+00, -2.4034500E+01,  5.3574600E+00, -2.4685500E-01, -1.0076600E+00,  1.2065000E+03, 
